"address_zip","average_Discounted_Price"
"55359","46.656666666666666"
"19602","44.99"
"33458","44.99"
"33166","44.99"
"98272","39.99"
"37801","39.99"
"1105","39.99"
"58103","39.99"
"64024","38.32333333333334"
"7840","37.99"
"94539","37.49"
"44260","37.379000000000005"
"50311","36.82366666666667"
"35111","36.65666666666667"
"23116","36.65666666666667"
"7016","36.65666666666667"
"32119","36.656666666666666"
"90046","36.656666666666666"
"13501","36.656666666666666"
"48377","36.656666666666666"
"37876","36.656666666666666"
"27583","36.656666666666666"
"37912","36.656666666666666"
"78209","36.28179166666667"
"44142","36.24"
"78942","36.24"
"75702","36.24"
"55927","36.24"
"84318","36.24"
"43023","36.059"
"78132","36.05254166666667"
"38462","35.99"
"2341","35.82333333333334"
"28217","35.70428571428572"
"48313","35.70428571428572"
"1760","35.666529411764714"
"60016","35.54555555555556"
"91770","35.54555555555556"
"44514","35.54555555555556"
"49619","35.37461538461539"
"13743","35.37461538461539"
"78653","35.37461538461539"
"6053","35.14392307692308"
"63343","35.132999999999996"
"71038","34.99008928571429"
"73601","34.99007407407408"
"95667","34.99"
"35613","34.99"
"53215","34.99"
"30104","34.99"
"38024","34.99"
"12461","34.99"
"30292","34.99"
"46057","34.99"
"23323","34.99"
"27312","34.99"
"90621","34.99"
"10705","34.99"
"30310","34.99"
"70748","34.99"
"74873","34.99"
"39702","34.99"
"98052","34.99"
"92701","34.99"
"6824","34.99"
"33319","34.99"
"93405","34.99"
"76108","34.99"
"21804","34.99"
"78586","34.99"
"87571","34.99"
"70535","34.99"
"4073","34.83378125"
"6515","34.790000000000006"
"91754","34.717318181818186"
"28439","34.70435714285715"
"73006","34.695882352941176"
"87544","34.656666666666666"
"61108","34.60538461538462"
"77437","34.56142857142857"
"83341","34.506129032258066"
"93550","34.434444444444445"
"85249","34.365"
"27603","34.365"
"78550","34.30818181818182"
"28112","34.29559722222222"
"60101","34.275714285714294"
"12524","34.275714285714294"
"48071","34.27571428571429"
"26301","34.22088461538462"
"65807","34.212277777777786"
"44074","34.18253846153846"
"45840","34.15675925925926"
"93305","34.15666666666667"
"32680","34.12793103448276"
"32221","34.10764705882353"
"94920","33.99"
"49111","33.99"
"13667","33.99"
"24330","33.99"
"29582","33.99"
"95403","33.99"
"76306","33.99"
"55104","33.99"
"98577","33.989999999999995"
"94806","33.989999999999995"
"22180","33.91857142857143"
"6066","33.84726785714286"
"80011","33.843"
"46530","33.83615384615385"
"60517","33.83615384615385"
"49004","33.83615384615385"
"64086","33.83615384615385"
"15110","33.83615384615385"
"62712","33.8322105263158"
"23231","33.790200000000006"
"60426","33.757511627906986"
"1605","33.74"
"66203","33.74"
"76401","33.74"
"93728","33.723400000000005"
"39562","33.69275675675676"
"21120","33.690075"
"48094","33.682346153846154"
"44720","33.67421052631579"
"15417","33.67421052631579"
"31721","33.66593518518519"
"43320","33.65679166666667"
"14057","33.644038461538464"
"30012","33.632871428571434"
"32578","33.628972222222224"
"1030","33.62672727272728"
"55001","33.62636363636364"
"6111","33.60702127659575"
"75074","33.563195121951225"
"19611","33.552546875000004"
"48906","33.549322033898314"
"33025","33.532914285714284"
"53566","33.523383333333335"
"27870","33.519411764705886"
"66220","33.5056875"
"33417","33.49"
"87042","33.44240476190477"
"32561","33.437937500000004"
"33155","33.425935897435906"
"72764","33.41878571428572"
"98104","33.39485714285714"
"33605","33.37643181818183"
"33612","33.32724999999996"
"30338","33.32333333333334"
"19533","33.32333333333334"
"46012","33.32333333333334"
"18974","33.32333333333334"
"94123","33.32333333333334"
"44223","33.32333333333334"
"37923","33.32333333333334"
"78731","33.32333333333334"
"90291","33.32333333333334"
"55369","33.32333333333334"
"59019","33.32333333333334"
"99223","33.32333333333334"
"75476","33.32333333333334"
"7921","33.32333333333333"
"19930","33.32333333333333"
"28715","33.32333333333333"
"91765","33.32333333333333"
"85331","33.32333333333333"
"22041","33.32333333333333"
"93555","33.32333333333333"
"67637","33.32333333333333"
"54981","33.32333333333333"
"24012","33.32333333333333"
"76087","33.32333333333333"
"28207","33.32333333333333"
"7062","33.32333333333333"
"30139","33.31762068965518"
"98087","33.278519230769234"
"49085","33.243215189873375"
"38769","33.240125000000006"
"21014","33.23340540540541"
"5150","33.23171666666668"
"77006","33.22356666666668"
"18929","33.215806451612906"
"30152","33.215806451612906"
"33306","33.2150125"
"39042","33.204392857142864"
"75146","33.20428571428572"
"34119","33.18155319148937"
"56031","33.171890909090905"
"83854","33.17181818181819"
"55057","33.157000000000004"
"11756","33.15044339622642"
"29644","33.136815217391245"
"62258","33.128404255319154"
"8758","33.11511249999996"
"63138","33.115"
"48092","33.09613636363636"
"70810","33.093801886792455"
"24521","33.07827941176471"
"22152","33.06692307692308"
"50401","33.06692307692308"
"27596","33.06692307692308"
"40962","33.06692307692308"
"11360","33.06692307692308"
"68787","33.061442857142865"
"28163","33.048838235294106"
"94118","33.045611111111114"
"85710","33.00725862068966"
"5679","33.00449999999998"
"48895","32.9903"
"40356","32.99014179104478"
"76010","32.99006"
"30067","32.99"
"44105","32.99"
"4739","32.99"
"11223","32.99"
"67114","32.99"
"54304","32.99"
"44092","32.99"
"56537","32.97128301886793"
"53901","32.95971212121213"
"54001","32.95875"
"95602","32.934555555555555"
"43560","32.93117647058824"
"34761","32.90679166666667"
"44118","32.90670000000001"
"98028","32.897314432989695"
"37421","32.88473684210527"
"47359","32.84714285714286"
"49056","32.84714285714286"
"90504","32.84714285714286"
"35601","32.84714285714286"
"24053","32.84714285714286"
"55959","32.84714285714286"
"15009","32.84714285714286"
